38;54;43;57
62;41;61;65
58;36;53;54
52;44;48;34
57;66;67;64
51;66;36;68
65;59;51;32
35;49;55;44
44;56;43;38
48;55;66;64
35;55;54;55
35;57;66;38
61;34;51;70
56;45;68;61
67;35;33;53
64;48;50;47
65;39;51;30
30;67;42;41
50;36;50;60
70;33;63;37
33;36;44;60
44;46;60;67
61;60;64;54
50;32;37;41
59;33;70;62
69;32;51;48
69;50;57;64
39;58;55;32
46;69;32;33
53;47;68;61
37;61;34;52
47;65;37;33
51;47;44;44
34;57;63;62
39;30;50;50
48;56;45;38
51;64;30;47
61;49;40;65
50;35;70;42
49;44;39;46
54;66;42;70
70;48;57;45
42;31;55;54
43;37;68;51
53;67;31;59
64;65;35;50
39;33;60;42
41;68;42;46
44;56;51;55
53;48;57;32
57;70;59;61
52;59;48;41
45;69;36;64
30;47;51;67
38;38;36;60
70;58;70;31
54;55;32;48
38;38;58;61
56;39;33;60
67;36;48;47
63;37;65;67
64;45;53;37
64;63;58;34
34;55;66;65
44;43;33;59
54;55;69;36
45;39;32;48
58;43;68;60
49;30;34;43
69;70;57;31
64;30;64;49
30;61;70;44
34;58;62;30
46;69;42;63
41;46;49;50
61;47;49;39
53;43;51;42
56;57;66;48
31;38;65;38
48;47;35;53
57;62;43;55
49;39;66;53
44;69;45;66
31;51;60;32
65;66;65;36
40;31;50;39
70;63;69;50
62;46;31;64
66;68;59;69
35;50;66;70
35;69;39;32
55;63;30;67
54;48;38;50
34;68;31;62
57;38;62;69
46;62;68;36
33;39;55;68
57;51;61;62
36;37;41;36
55;53;47;66
70;43;49;55
44;54;67;46
68;70;46;45
48;67;31;46
54;55;43;39
54;68;45;37
48;69;30;45
38;41;54;30
61;52;39;54
32;64;60;61
36;69;37;64
52;51;46;54
35;60;46;65
38;67;51;33
50;37;48;70
43;42;53;57
66;66;48;65
66;44;63;35
44;38;57;34
48;38;33;48
52;60;54;66
34;51;43;46
64;41;70;67
58;61;37;41
58;53;61;54
35;54;30;37
33;55;65;32
58;54;54;43
64;48;35;57
48;59;67;69
70;54;59;66
51;58;44;59
53;43;61;63
50;65;70;46
34;39;52;48
49;62;40;63
70;59;40;46
38;48;58;58
31;39;40;45
68;31;70;58
65;61;69;62
65;68;70;57
59;31;50;48
46;50;52;58
43;66;52;69
45;49;32;48
33;32;65;57
52;57;40;63
35;47;55;57
35;54;50;38
36;46;68;57
39;40;42;35
30;33;48;56
37;69;59;60
